ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,,Address,Delivery time,Food type,,,,,,,,,,,,,,,,,,,,,,
4956,Andheri East,Mumbai,Rj Spice,450,4.1,20,,Jb Nagar  Andheri East,55,Chinese  Thai  Fast Food,,,,,,,,,,,,,,,,,,,,,,
5107,Agarkar Nagar,Pune,Blue Nile,1000,4.2,1000,,Bund Garden Road,31,Biryani,Mughlai,,,,,,,,,,,,,,,,,,,,,
5119,Koregaon Park,Pune,Arthur'S Theme,800,4.3,100,,Lane No 6 Opp Cosmos Bank Kp,56,Italian,European,,,,,,,,,,,,,,,,,,,,,
5120,Mundhwa,Pune,Carnival Restaurant & Bar,1000,4.2,100,,Mundhwa Road Kp,64,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
5139,Shivajinagar,Pune,Smokin' Joe'S,400,4,50,,Jm Road,35,American,Fast Food,,,,,,,,,,,,,,,,,,,,,
5150,Mohammed Wadi,Pune,Chai - The Way You Like It,250,4,50,,Salunkhe Vihar Road,73,Fast Food,,,,,,,,,,,,,,,,,,,,,,
5157,Shivajinagar,Pune,Mainland China,850,4.4,100,,Pyramid Mall,53,Chinese,Oriental,,,,,,,,,,,,,,,,,,,,,
5172,Bandra Area,Mumbai,Theobroma,800,4.7,500,,Bandra Area,40,Desserts,Bakery,,,,,,,,,,,,,,,,,,,,,
5208,Paschim Vihar,Delhi,Deli 63,400,2.9,80,,Punjabi Bagh,60,Street Food,Fast Food,,,,,,,,,,,,,,,,,,,,,
5221,Malleshwaram,Bangalore,Food Paradise,326,3.9,100,,Malleshwaram,53,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
5247,Ashok Nagar,Bangalore,Corner House Ice Cream,250,4.7,1000,,Residency Road,31,Ice Cream,Desserts,,,,,,,,,,,,,,,,,,,,,
5251,Kalighat,Kolkata,Bachan'S Dhaba,250,4.3,5000,,Near Kalighat Metro Rash Behari Avenue,61,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
5255,Ballygunge,Kolkata,Mainland China,850,4.5,100,,Ballygunge,64,Chinese,Oriental,,,,,,,,,,,,,,,,,,,,,
5285,Lakdikapul,Hyderabad,Chicha'S,200,3.8,500,,P & T Officers Colony,40,Biryani,Hyderabadi,,,,,,,,,,,,,,,,,,,,,
5297,Deccan Gymkhana,Pune,Le Plaisir,1000,4.5,500,,Prabhat Road Deccan,40,Italian,Continental,,,,,,,,,,,,,,,,,,,,,
5370,Deccan Gymkhana,Pune,Cafe Goodluck,200,4.4,100,,Shivajinagar,35,North Indian,Fast Food,,,,,,,,,,,,,,,,,,,,,
5408,Camp,Pune,George Restaurant,600,4.3,1000,,East Street,33,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
5496,Camp,Pune,Marzorin,200,4.4,1000,,Mg Road,33,Fast Food,Bakery,,,,,,,,,,,,,,,,,,,,,
5504,Antop Hill,Mumbai,Monica Chinese Fast Food,350,3.9,50,,Antop Hill,57,Chinese,,,,,,,,,,,,,,,,,,,,,,
5538,Kothapet,Hyderabad,Kinara Grand,750,3.9,1000,,Ashta Laxmi Temple,58,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
5549,New Tippasandra,Bangalore,Dal Roti Sabji,150,4.5,100,,80Ft Road,54,North Indian,,,,,,,,,,,,,,,,,,,,,,
5573,Ashok Nagar,Bangalore,Mainland China,850,4.3,100,,Church Street,40,Chinese,Oriental,,,,,,,,,,,,,,,,,,,,,
5582,Vasanth Nagar,Bangalore,Shezan,600,4.3,100,,Cunnigham Road,44,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
5596,Vasanth Nagar,Bangalore,Dolci Desserts,600,4.5,50,,Cunnigham Road,40,Desserts,Pastas,,,,,,,,,,,,,,,,,,,,,
5624,Deccan Gymkhana,Pune,Subway,350,4.4,100,,Fc Road,35,Fast Food,Healthy Food,,,,,,,,,,,,,,,,,,,,,
5691,Bandra Area,Mumbai,Smoke House Deli,600,4.4,100,,Bandra Area,48,European,Italian,,,,,,,,,,,,,,,,,,,,,
5743,Bhawani Peth,Pune,Madinah,200,4,500,,Poona College,34,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
5802,Bidhannagar,Kolkata,First Innings - The Stadel Hotel,800,4.5,20,,Sector 3,69,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
5862,Basheer Bagh,Hyderabad,Meghacity,500,4.4,1000,,Basheerbagh X Road,32,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
5878,Kalyani Nagar,Pune,Salad Grills,300,4.3,100,,Hermes Parai,63,Healthy Food,Salads,,,,,,,,,,,,,,,,,,,,,
5882,Ashok Nagar,Bangalore,Oh! Calcutta,800,4.3,100,,Church Street,36,Bengali,,,,,,,,,,,,,,,,,,,,,,
5893,Shankarapura,Bangalore,Polar Bear,300,4.5,100,,Vv Puram,38,Desserts,Fast Food,,,,,,,,,,,,,,,,,,,,,
5908,Vasanth Nagar,Bangalore,Miller'S 46,1100,4.4,100,,Cunnigham Road,47,Steakhouse,American,,,,,,,,,,,,,,,,,,,,,
5916,Sivanchetti Gardens,Bangalore,Carnival De Goa,500,4.1,100,,Kensington Point,48,Goan,Mangalorean,,,,,,,,,,,,,,,,,,,,,
5989,Elgin,Kolkata,The Rouge,400,4.4,50,,Near Bishop'S College  Kolkata,51,Desserts  Bakery,,,,,,,,,,,,,,,,,,,,,,
5994,Bidhannagar,Kolkata,The Darjeeling,500,4,100,,Near City Centre 1,73,Chinese,Nepalese,,,,,,,,,,,,,,,,,,,,,
6075,Paschim Vihar,Delhi,London Grill Co,500,4,1000,,Paschim Vihar,50,American,Healthy Food,,,,,,,,,,,,,,,,,,,,,
6328,Mumbai,Mumbai,Mughal Fusions,300,3.9,100,,Lbs Marg,38,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
6329,Kurla West,Mumbai,Mughal Darbaar,300,3.7,500,,Lbs Marg,40,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
6332,Saki Naka,Mumbai,Naaz Hotel,750,4.1,500,,Kurla West,39,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
6345,Teynampet,Chennai,Amaravathi,650,4.2,100,,Cathedral Road,53,Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
6358,Nandanam,Chennai,Eatalica,500,4.5,100,,Ra Puram,69,Italian,American,,,,,,,,,,,,,,,,,,,,,
6493,Rajajinagar,Bangalore,Kudla Beach,400,3.9,20,,Dr. Rajkumar Road,59,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
6518,Langford Gardens,Bangalore,Rolls Kitchen,200,4.4,500,,Shanthi Nagar,35,Fast Food,,,,,,,,,,,,,,,,,,,,,,
6577,Punjagutta,Hyderabad,Zyqa Restaurant,200,4,500,,Punjagutta,55,North Indian,Biryani,,,,,,,,,,,,,,,,,,,,,
6585,Himayatnagar,Hyderabad,Sahara Bakers,200,3.8,500,,Chikadpally,34,Bakery,Pizzas,,,,,,,,,,,,,,,,,,,,,
6663,Kurla West,Mumbai,Mughal Dhaba,500,4,20,,Lbs Marg Kurla West,36,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
6723,Deccan Gymkhana,Pune,Spring Onion,500,4.3,100,,Bhandarkar Road,39,Chinese,Thai,,,,,,,,,,,,,,,,,,,,,
6745,Koti,Hyderabad,Tibbs Frankie,150,4.3,100,,Hanuman Tekdi Road,29,Snacks,,,,,,,,,,,,,,,,,,,,,,
6775,Kalighat,Kolkata,Petuk,350,4,20,,Near Sujata Sadan Theater Hazra,70,Mughlai,Chinese,,,,,,,,,,,,,,,,,,,,,
6850,Malleshwaram,Bangalore,Shanthi Sagar Grand,200,4,100,,Sampige Road,57,North Indian,South Indian,,,,,,,,,,,,,,,,,,,,,
6851,Abids,Hyderabad,Agrawala Sweets,250,4.3,100,,Jn Road,27,Sweets,Fast Food,,,,,,,,,,,,,,,,,,,,,
6917,Powai,Mumbai,Eagle Boys Pizza,600,3.7,100,,Chandivali,56,Pizzas  Fast Food,,,,,,,,,,,,,,,,,,,,,,
6924,Richmond Town,Bangalore,Freshmenu,250,4.1,1000,,Aga Abdullah Street,38,Chinese,Continental,,,,,,,,Bakery,Biryani,Desserts,Mexican,North Indian,Salads,Pizzas,,,,,,,
7002,Himayatnagar,Hyderabad,Angaara,250,3.9,100,,Street 4,33,Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
7029,Santacruz East,Mumbai,Golden Wave Restaurant,1000,2.9,80,,Santacruz East,56,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
7199,Bidhannagar,Kolkata,Afraa Deli-Sector 1,700,4.3,50,,Sector 1,67,Continental,Fast Food,,,,,,,,,,,,,,,,,,,,,
7204,Bidhannagar,Kolkata, Conclave At Afraa,850,3.9,50,,Salt Lake City Centre,75,Italian,Indian,,,,,,,,,,,,,,,,,,,,,
7341,Ashok Nagar,Bangalore,Shiro,1400,4.4,100,,Vittal Mallya Road,44,Japanese,Asian,,,,,,,,,,,,,,,,,,,,,
7412,Khairtabad,Hyderabad,Paradise Biryani,400,3.9,100,,Imax Road,48,Biryani  North Indian  Chinese,,,,,,,,,,,,,,,,,,,,,,
7415,Aundh,Pune,Delhi Kitchen,300,4,100,,Dp Road,69,Tandoor,North Indian,,,,,,,,,,,,,,,,,,,,,
7626,Vishnu Garden,Delhi,Sethi Restaurant,300,4,1000,,Pacific Mall,63,North Indian,,,,,,,,,,,,,,,,,,,,,,
